Question,Answer
"What is recycling?","Recycling is the process of collecting and processing materials that would otherwise be thrown away as trash and turning them into new products."
"Why is recycling important?","It conserves natural resources and energy, reduces the need for new raw materials, and helps cut greenhouse gas emissions."
"Does recycling save energy?","Yes. Making products from recycled materials typically uses less energy than using virgin materials."
"What are the main benefits of recycling?","Conserves resources, saves energy, supports manufacturing jobs, reduces landfill use, and lowers pollution."
"What is the waste management hierarchy?","From most to least preferred: prevent waste, reuse, recycle/compost, recover energy, dispose."
"What does 'recycle right' mean?","Only put accepted items in the bin; keep them empty, clean, and dry; don’t bag recyclables unless your program says to."
"What is recycling contamination?","When non-accepted or dirty items go into the recycling bin, lowering quality and possibly ruining whole loads."
"How do I learn what my city accepts?","Check your local program or hauler’s website for an accepted materials list and prep guidelines."
"Do I need to remove labels from containers?","Generally no. Focus on emptying and lightly rinsing so items are clean and dry."
"Should recyclables be bagged?","Usually no—plastic bags jam sorting equipment. Place items loose unless your local rules differ."
"What plastics are commonly accepted curbside?","#1 (PET) and #2 (HDPE) bottles and jugs are widely accepted; some areas also take tubs—always check locally."
"What do the numbers on plastic mean?","They identify resin type, not recyclability everywhere. Local acceptance varies."
"Can I recycle plastic caps and lids?","Often yes—leave caps on empty, rinsed plastic bottles if your program allows; check local rules."
"Are compostable plastics recyclable?","No. Compostable plastics are designed for industrial composting, not for recycling streams."
"Can plastic bags/film go in the bin?","Generally no. Take clean bags and film to retail drop-off points if available."
"Are black plastic trays recyclable?","Often not—optical sorters may not detect them. Verify with your local program."
"Should I crush plastic bottles?","Crush only if your program recommends it; some systems rely on container shape for sorting."
"Can foam (Styrofoam) be recycled curbside?","Most curbside programs don’t accept foam foodware/packaging; seek specialty drop-off if available."
"What paper is recyclable?","Office paper, newspapers, magazines, paper mail—keep clean and dry."
"Are staples or paper clips a problem?","No—small metal fasteners are removed during processing."
"Is shredded paper recyclable?","Many curbside programs don’t accept loose shreds; look for bagged drop-off instructions."
"Can I recycle pizza boxes?","If free of heavy grease/food, yes. Oil-soaked areas should be composted or trashed."
"Is gift wrap recyclable?","Foil/glitter wrap usually isn’t. Plain paper wrap may be accepted; tissue paper often isn’t."
"Do I remove tape from cardboard?","Remove what’s practical and flatten boxes for collection."
"Is glass recyclable?","Many programs accept glass bottles/jars. Rinse and remove food residue; check lid rules locally."
"Can broken glass go in the bin?","Often no—hazard for workers and may be rejected. Check local guidance."
"Do I separate glass by color?","Some programs accept mixed glass; others require separation. Follow local rules."
"Are aluminum cans recyclable?","Yes—aluminum cans are widely accepted and can be recycled repeatedly without quality loss."
"Is aluminum foil/pans recyclable?","Only if clean and accepted locally. Food-soiled foil is contamination."
"Can steel/tin cans be recycled?","Yes—rinse food/beverage cans; place metal lids inside cans for safety if instructed."
"Are cartons recyclable?","Many communities accept shelf-stable and refrigerated cartons; verify and follow cap instructions locally."
"What is composting?","Managed, aerobic decomposition of organics (food scraps, yard trimmings) into a soil amendment called compost."
"What can I compost at home?","Greens (fruit/veg scraps) and browns (dry leaves/cardboard). Avoid meat, dairy, and oily foods in basic home systems."
"How do I balance greens/browns?","Use a roughly equal mix by volume; keep moisture like a wrung-out sponge to support microbes."
"Can I compost ‘compostable’ plastic at home?","No—most require industrial facilities; don’t add them to home compost unless labeled for home composting."
"How should I recycle electronics?","Don’t place e-waste in curbside bins. Use manufacturer take-back, retailer programs, or authorized collection events."
"Why recycle electronics?","They contain valuable materials and potentially hazardous substances; recycling conserves resources and manages toxics."
"Can I put batteries in curbside recycling?","No. Use dedicated battery collection points; some retailers/community sites accept them."
"How do I dispose of household hazardous waste?","Take paints, solvents, pesticides, and certain cleaners to household hazardous waste programs."
"Can I recycle light bulbs?","CFLs contain small amounts of mercury and need special handling; many hardware stores offer take-back."
"How do I recycle appliances?","Use bulky item collection or scrap metal recyclers; refrigerants need proper handling by certified technicians."
"Can clothing/textiles be recycled?","Many charities and recyclers accept clean, dry clothing/textiles for reuse or recycling."
"Do clothes go in curbside recycling?","No—textiles aren’t accepted in most curbside programs and can tangle equipment."
"Do containers need to be perfectly clean?","No—just empty and free of significant residue; quick rinsing prevents pests and contamination."
"Should lids be on or off?","Follow local rules. Commonly caps stay on plastic bottles; metal lids can go inside cans if advised."
"How dry should recyclables be?","Keep them dry; moisture damages paper and lowers material quality."
"Is it better to crush cans/bottles?","Only if recommended locally; crushing can confuse shape-based sorting."
"Are tiny items recyclable?","Items smaller than a credit card often fall through sorting equipment and aren’t captured."
"What about cords, hoses, and wires?","Don’t put them in the bin—‘tanglers’ jam sorting machinery."
"Are takeaway coffee cups recyclable?","Varies. Paper cups may have plastic lining and be rejected; lids/sleeves might be recyclable separately."
"Is plastic cutlery recyclable?","Usually not accepted curbside; choose reusables when possible."
"Are aerosol cans recyclable?","If completely empty, many programs accept them—don’t pierce; check local guidance."
"Can mirrors/window glass be recycled?","They’re different from container glass and are often not accepted curbside."
"Can bulky scrap metal go in the bin?","No—take to scrap metal recyclers or special collection events."
"Are paint cans recyclable?","Empty, dry metal cans may be accepted as scrap; wet paint is HHW and needs special programs."
"Can I recycle receipts?","Thermal paper may contain chemicals and is often not accepted—check locally."
"What should I do with yard waste?","Use community yard-waste collection or home composting; avoid bagging in plastic unless directed."
"Can I recycle clamshell plastic containers?","Acceptance varies. Many programs focus on bottles/jugs; check if clamshells are accepted locally."
"What are biobased plastics?","They’re made from biological feedstocks; biobased does not automatically mean recyclable or compostable locally."
"How can schools improve recycling?","Pair labeled bins, teach what to recycle, monitor contamination, and engage students/staff with clear signage."
